id,texto_relato,natureza
1,"Comunicante relata que teve celular subtraido sem uso de violencia na parada de onibus",Furto
2,"Vitima informa que foi abordada por individuo armado que levou sua carteira",Roubo
3,"Comunicante recebeu mensagem falsa de banco e transferiu dinheiro para conta desconhecida",Estelionato
4,"Vitima alega que bicicleta foi retirada do suporte em frente ao comercio sem que percebesse",Furto
5,"Comunicante declara que dois individuos em motocicleta anunciaram o assalto e levaram o aparelho celular",Roubo
6,"Vitima informa que clicou em link de premiação e perdeu acesso à conta bancária",Estelionato
7,"Comunicante relata que vizinho ameaçou agredi-lo apos discussao sobre vaga de estacionamento",Ameaça
8,"Vitima declara que sofreu socos e chutes durante briga em bar no Setor Comercial Sul",Lesão corporal
9,"Comunicante informa que o veiculo teve o vidro quebrado e o estereo removido durante a madrugada",Furto
10,"Vitima relata que foi rendida no elevador do predio e teve bolsa e documentos levados",Roubo
11,"Comunicante afirma que pessoa se passou por funcionario da energia eletrica e cobrou taxa inexistente",Estelionato
12,"Vitima informa que ex-companheiro enviou mensagens dizendo que iria mata-la se ela nao voltasse",Ameaça
13,"Comunicante relata que o muro da residencia foi pichado e o portao amassado com pedras",Dano
14,"Vitima declara que notebook da empresa nao foi devolvido por ex-colaborador apos desligamento",Apropriação indébita
15,"Comunicante informa que comprou celular usado e depois descobriu que o aparelho era produto de crime",Receptação
16,"Vitima relata que teve redes sociais invadidas e fotos intimas divulgadas sem autorizacao",Invasão de dispositivo informático
17,"Comunicante declara que companheiro agrediu-a com tapas no interior da residencia na presenca dos filhos",Violência doméstica
18,"Vitima informa que encontrou porcao de entorpecente escondida no banco traseiro de taxi",Tráfico de drogas
19,"Comunicante relata que foi xingado e humilhado por policial militar ao questionar abordagem",Desacato
20,"Vitima alega que carro foi levado do estacionamento do shopping sem arrombamento visivel",Furto
21,"Comunicante informa que foi abordada em via publica por individuo com faca que exigiu o relogio",Roubo
22,"Vitima declara que contratou reforma e o prestador desapareceu apos receber o sinal",Estelionato
23,"Comunicante relata que desconhecido apontou arma na fila do caixa eletronico e levou o dinheiro",Roubo
24,"Vitima informa que bolsa foi retirada da cadeira em restaurante enquanto conversava",Furto
25,"Comunicante afirma que recebeu ligacao de falso sequestro e transferiu valores para contas de laranja",Estelionato
26,"Vitima relata que moto foi tomada por dois homens em uma via de Ceilandia por volta das 22h",Roubo
27,"Comunicante declara que teve o nome usado para abertura de conta e contratacao de emprestimo",Estelionato
28,"Vitima informa que o notebook foi subtraido da mochila no campus universitario sem percepcao imediata",Furto
29,"Comunicante relata agressao com copo de vidro durante discussao em festa, com corte no braco",Lesão corporal
30,"Vitima declara que o varejista recusou devolver produto com defeito e reteve o valor pago",Apropriação indébita
